what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477306797132
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1477306797374
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1477307102842
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307112496
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307121828
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1477307121854
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307124568
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307217604
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307220368
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1477307221369
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1477307221386
